_id,client_serial_no_id,isActive_db,client_id,optical_name1_db,client_name_db,address_1_db,district_db,state_db,country_db,pincode_db,mobile_1_db,mobile_2_db,mobile_3_db,email_1_db,email_2_db,followup_db,database_status_db,dumpBy_db,__v
688b59ebfc7f7b345626f5f0,1,TRUE,C0000001,Eyemax Opticals,NA,Hill Road Bandra West,AKOLA,MAHARASHTRA,INDIA,NA,9221373189,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5f1,2,TRUE,C0000002,Specs N Shades,NA,Pali Road Bandra West,AKOLA,MAHARASHTRA,INDIA,NA,9819021021,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5f2,3,TRUE,C0000003,Sham Opticians,NA,Goverment Colony Bandra East,AKOLA,UTTAR PRADESH,INDIA,NA,8080257099,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5f3,4,TRUE,C0000004,Chheda Optical Mart,NA,L.N Road Matunga East,AKOLA,BIHAR,INDIA,NA,9867479728,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5f4,5,TRUE,C0000005,Owndays INDIA Pvt. Ltd.,NA,Senapati Bapat Marg,AKOLA,BIHAR,INDIA,NA,9892889793,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5f5,6,TRUE,C0000006,Silver Opticians,NA,Veer Sawarkar Marg Prabhadevi,AKOLA,UTTAR PRADESH,INDIA,NA,9820421195,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5f6,7,TRUE,C0000007,Shah Vision Express,NA,Juhu Road Santacruz West,AKOLA,MADHYA PRADESH,INDIA,NA,2226283981,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5f7,8,TRUE,C0000008,Disha Optics,NA,90 Feet Road Dharavi,AKOLA,MAHARASHTRA,INDIA,NA,9820057780,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5f8,9,TRUE,C0000009,Dabholkar & Sons,NA,Ranade Road Dadar West,AKOLA,MAHARASHTRA,INDIA,NA,2226236767,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5f9,10,TRUE,C0000010,R N Shinde & Sons,NA,N C Kelkar Road Dadar West,AKOLA,MAHARASHTRA,INDIA,NA,8355832396,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5fa,11,TRUE,C0000011,New Popular Optical Stores,NA,S V Road Andheri West,AKOLA,BIHAR,INDIA,NA,9820330055,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5fb,12,TRUE,C0000012,Classic Vision,NA,M G Road Vile Parle East,AKOLA,BIHAR,INDIA,NA,9594610038,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5fc,13,TRUE,C0000013,Perfect Vision,NA,Dadabhai Road Vile Parle West,AKOLA,UTTAR PRADESH,INDIA,NA,8097969705,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5fd,14,TRUE,C0000014,Lotus Optical,NA,C D Barfiwala Road Andheri West,AKOLA,MADHYA PRADESH,INDIA,NA,8108481866,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5fe,15,TRUE,C0000015,Eye Contact Optician,NA,Saheb Ambedkar Road Lal Baug,AKOLA,MAHARASHTRA,INDIA,NA,9821660852,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f5ff,16,TRUE,C0000016,New Eye Trend,NA,Senapati Bapat Marg Lower Parel,AKOLA,MAHARASHTRA,INDIA,NA,9221215085,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f600,17,TRUE,C0000017,Alfa Optician,NA,Station Road Chembur East,AKOLA,MAHARASHTRA,INDIA,NA,2224124518,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f601,18,TRUE,C0000018,Deepak Opticians,NA,LBS Road Kurla West,AKOLA,BIHAR,INDIA,NA,2226125660,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f602,19,TRUE,C0000019,Amruta Optician,NA,Chembur Colony-Chembur East,AKOLA,BIHAR,INDIA,NA,9867532742,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f603,20,TRUE,C0000020,Puranik & Sons,NA,Lower Parel ) Chinchpokli,AKOLA,UTTAR PRADESH,INDIA,NA,9619927279,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f604,21,TRUE,C0000021,Parle Eye Institute And Cardiac Clinic,NA,Acharya Donge Marg Parel,AKOLA,MADHYA PRADESH,INDIA,NA,9930838882,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f605,22,TRUE,C0000022,Optic Studio Plus,NA,Vile Parle Vile Parle East,AKOLA,MAHARASHTRA,INDIA,NA,9653637436,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f606,23,TRUE,C0000023,Identity Optician,NA,Road No 18 Chembur East,AKOLA,MAHARASHTRA,INDIA,NA,9867063549,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f607,24,TRUE,C0000024,Mark Optical Co,NA,Ganpatrao Kadam Marg Lower Parel,AKOLA,MAHARASHTRA,INDIA,NA,9004951753,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f608,25,TRUE,C0000025,Solitaire Opticals,NA,Ganpatrao Kadam Marg Lower Parel,AKOLA,BIHAR,INDIA,NA,9867444466,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f609,26,TRUE,C0000026,Netram Optics & Contact Lens Clinic,NA,M G Road Vile Parle East,AKOLA,BIHAR,INDIA,NA,9892507712,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f60a,27,TRUE,C0000027,Vision Plus,NA,M G Road Ghatkopar West,AKOLA,UTTAR PRADESH,INDIA,NA,8655736813,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f60b,28,TRUE,C0000028,Nu Look Eyewear,NA,Bon Bon Lane Andheri West,AKOLA,MADHYA PRADESH,INDIA,NA,9820306575,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f60c,29,TRUE,C0000029,Vision Tech Optics And Contact Lens Clinic,NA,Sab TV Lane Andheri West,AKOLA,MAHARASHTRA,INDIA,NA,2248931192,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f60d,30,TRUE,C0000030,Ashish Optics,NA,Old Nagardas Road Andheri East,AKOLA,MAHARASHTRA,INDIA,NA,8898222226,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f60e,31,TRUE,C0000031,New Specto Eye Wear,NA,Bob Bon Lane Andheri West,AKOLA,MAHARASHTRA,INDIA,NA,9987534000,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f60f,32,TRUE,C0000032,Shah Optical Gallery,NA,Marol Military Road Andheri East,AKOLA,BIHAR,INDIA,NA,2228381509,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f610,33,TRUE,C0000033,Eye Care.,NA,Mahakali Caves Road Andheri East,AKOLA,BIHAR,INDIA,NA,9870089395,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f611,34,TRUE,C0000034,Drishya Optics,NA,M G Road Ghatkopar East,AKOLA,UTTAR PRADESH,INDIA,NA,9833056278,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f612,35,TRUE,C0000035,Sajal Nayan Opticians,NA,Gopal Lane Ghatkopar West,AKOLA,MADHYA PRADESH,INDIA,NA,9867856444,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f613,36,TRUE,C0000036,M.i. Optics,NA,Andheri Kurla Road Andheri East,AKOLA,MAHARASHTRA,INDIA,NA,9867813381,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f614,37,TRUE,C0000037,Marol Eye Care,NA,Jijamata Road Andheri East,AKOLA,MAHARASHTRA,INDIA,NA,8451806061,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f615,38,TRUE,C0000038,Dev Optics,NA,Tata Nagar Govandi West,AKOLA,MAHARASHTRA,INDIA,NA,2223010632,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f616,39,TRUE,C0000039,Scale Optical,NA,Marol Maroshi Road Andheri East,AKOLA,MAHARASHTRA,INDIA,NA,9920800562,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f617,40,TRUE,C0000040,President Insight,NA,Tardeo Road Tardeo,AKOLA,MAHARASHTRA,INDIA,NA,9619353144,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f618,41,TRUE,C0000041,Rashtriya Optics,NA,Station Road Goregaon East,AKOLA,UTTAR PRADESH,INDIA,NA,9820236048,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f619,42,TRUE,C0000042,Gokul Optics,NA,August Kranti Marg Warden Road,AKOLA,BIHAR,INDIA,NA,7039710256,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61a,43,TRUE,C0000043,Kulkarni Brothers Opticians,NA,Nagpada-Mumbai Central,AKOLA,BIHAR,INDIA,NA,9082816581,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61b,44,TRUE,C0000044,New Starlite Optiks,NA,Opp Bata Showroom Goregaon East,AKOLA,UTTAR PRADESH,INDIA,NA,2223823980,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61c,45,TRUE,C0000045,Netrodaya Opticians & Contact Lens Clinic,NA,Khotachiwadi-charni Road,AKOLA,MADHYA PRADESH,INDIA,NA,2223863920,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61d,46,TRUE,C0000046,Sai Opticians,NA,Powai,AKOLA,MAHARASHTRA,INDIA,NA,9699518315,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61e,47,TRUE,C0000047,P Homi Co Optician Contact Lens Clinic,NA,L B S Marg Ghatkopar West,AKOLA,MAHARASHTRA,INDIA,NA,9820835457,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61f,48,TRUE,C0000048,Pure Vision,NA,Opposite IIT Main Gate Powai,AKOLA,MAHARASHTRA,INDIA,NA,9892971499,,,,,,raw_db,SA_1753962940616,0
